name,tumor,view,area_ratio,size_group,size_label,dice,iou,precision,recall
brisc2025_test_00502_me_sa_t1,meningioma,sagittal,0.006103515625,small,small < 1%,0.9441624283790588,0.8942307829856873,0.9587628841400146,0.9300000071525574
brisc2025_test_00503_me_sa_t1,meningioma,sagittal,0.00640869140625,small,small < 1%,0.9493087530136108,0.9035087823867798,0.9196428656578064,0.9809523820877075
brisc2025_test_00504_me_sa_t1,meningioma,sagittal,0.0047607421875,small,small < 1%,0.9673202633857727,0.9367088675498962,0.9866666793823242,0.9487179517745972
brisc2025_test_00505_me_sa_t1,meningioma,sagittal,0.0162353515625,medium,medium 1%-5%,0.8873483538627625,0.7975077629089355,0.8231511116027832,0.9624060392379761
brisc2025_test_00506_me_sa_t1,meningioma,sagittal,0.01220703125,medium,medium 1%-5%,0.8721461296081543,0.7732793688774109,0.8025209903717041,0.9549999833106995
brisc2025_test_00507_me_sa_t1,meningioma,sagittal,0.0118408203125,medium,medium 1%-5%,0.9631578922271729,0.9289340376853943,0.9838709831237793,0.9432989954948425
brisc2025_test_00508_me_sa_t1,meningioma,sagittal,0.01239013671875,medium,medium 1%-5%,0.970588207244873,0.9428571462631226,0.9658536314964294,0.9753694534301758
brisc2025_test_00509_me_sa_t1,meningioma,sagittal,0.01422119140625,medium,medium 1%-5%,0.9339407682418823,0.8760683536529541,0.9951456189155579,0.8798283338546753
brisc2025_test_00510_me_sa_t1,meningioma,sagittal,0.029296875,medium,medium 1%-5%,0.9682702422142029,0.9384920597076416,0.9517102837562561,0.9854166507720947
brisc2025_test_00511_me_sa_t1,meningioma,sagittal,0.0218505859375,medium,medium 1%-5%,0.9690141081809998,0.9398906826972961,0.9772727489471436,0.9608938694000244
brisc2025_test_00512_me_sa_t1,meningioma,sagittal,0.01031494140625,medium,medium 1%-5%,0.9235127568244934,0.8578947186470032,0.885869562625885,0.9644970297813416
brisc2025_test_00513_me_sa_t1,meningioma,sagittal,0.00341796875,small,small < 1%,0.9482758641242981,0.9016393423080444,0.9166666865348816,0.9821428656578064
brisc2025_test_00514_me_sa_t1,meningioma,sagittal,0.0162353515625,medium,medium 1%-5%,0.9833024144172668,0.9671533107757568,0.970695972442627,0.9962406158447266
